Time,Output,Control
3.22,9.71941,5.83233
3.23,9.71943,5.83233
3.24,9.71944,5.83234
3.25,9.71945,5.83236
3.26,9.71947,5.83235
3.27,9.71948,5.83236
3.28,9.71949,5.83238
3.29,9.71951,5.83239
3.30,9.71952,5.83238
3.31,9.71953,5.83240
3.32,9.71955,5.83241
3.33,9.71956,5.83242
3.34,9.71957,5.83242
3.35,9.71959,5.83243
3.36,9.71960,5.83245
3.37,9.71962,5.83244
3.38,9.71963,5.83245
3.39,9.71964,5.83247
3.40,9.71966,5.83248
3.41,9.71967,5.83247
3.42,9.71968,5.83249
3.43,9.71970,5.83250
3.44,9.71971,5.83251
3.45,9.71972,5.83251
3.46,9.71974,5.83252
3.47,9.71975,5.83253
3.48,9.71977,5.83253
3.49,9.71978,5.83254
3.50,9.71979,5.83256
3.51,9.71981,5.83257
3.52,9.71982,5.83256
3.53,9.71983,5.83258
3.54,9.71985,5.83259
3.55,9.71986,5.83260
3.56,9.71987,5.83260
3.57,9.71989,5.83261
3.58,9.71990,5.83262
3.59,9.71992,5.83264
3.60,9.71993,5.83263
3.61,9.71994,5.83264
3.62,9.71996,5.83266
3.63,9.71997,5.83267
3.64,9.71998,5.83266
3.65,9.72000,5.83268
3.66,9.72001,5.83269
3.67,9.72002,5.83270
3.68,9.72004,5.83269
3.69,9.72005,5.83271
3.70,9.72006,5.83272
3.71,9.72008,5.83273
3.72,9.72009,5.83273
3.73,9.72011,5.83274
3.74,9.72012,5.83275
3.75,9.72013,5.83277
3.76,9.72015,5.83276
3.77,9.72016,5.83277
3.78,9.72017,5.83279
3.79,9.72019,5.83280
3.80,9.72020,5.83279
3.81,9.72021,5.83281
3.82,9.72023,5.83282
3.83,9.72024,5.83283
3.84,9.72025,5.83282
3.85,9.72027,5.83284
3.86,9.72028,5.83285
3.87,9.72030,5.83286
3.88,9.72031,5.83285
3.89,9.72032,5.83287
3.90,9.72034,5.83288
3.91,9.72035,5.83289
3.92,9.72036,5.83289
3.93,9.72038,5.83290
3.94,9.72039,5.83291
3.95,9.72040,5.83293
3.96,9.72042,5.83294
3.97,9.72043,5.83293
3.98,9.72044,5.83294
3.99,9.72046,5.83296
4.00,9.72047,5.83297
4.01,9.72049,5.83296
4.02,9.72050,5.83297
4.03,9.72051,5.83299
4.04,9.72053,5.83300
4.05,9.72054,5.83299
4.06,9.72055,5.83301
4.07,9.72057,5.83302
4.08,9.72058,5.83303
4.09,9.72059,5.83304
4.10,9.72061,5.83303
4.11,9.72062,5.83305
4.12,9.72063,5.83306
4.13,9.72065,5.83307
4.14,9.72066,5.83307
4.15,9.72068,5.83308
4.16,9.72069,5.83309
4.17,9.72070,5.83310
4.18,9.72072,5.83312
4.19,9.72073,5.83311
4.20,9.72074,5.83312
4.21,9.72076,5.83313
4.22,9.72077,5.83315
4.23,9.72078,5.83316
4.24,9.72080,5.83315
4.25,9.72081,5.83316
4.26,9.72082,5.83317
4.27,9.72084,5.83319
4.28,9.72085,5.83318
4.29,9.72087,5.83319
4.30,9.72088,5.83320
4.31,9.72089,5.83322
4.32,9.72091,5.83323
4.33,9.72092,5.83322
4.34,9.72093,5.83323
4.35,9.72095,5.83325
4.36,9.72096,5.83326
4.37,9.72097,5.83327
4.38,9.72099,5.83326
4.39,9.72100,5.83327
4.40,9.72101,5.83329
4.41,9.72103,5.83330
4.42,9.72104,5.83331
4.43,9.72106,5.83330
4.44,9.72107,5.83332
4.45,9.72108,5.83333
4.46,9.72110,5.83334
4.47,9.72111,5.83335
4.48,9.72112,5.83334
4.49,9.72114,5.83336
4.50,9.72115,5.83337
4.51,9.72116,5.83338
4.52,9.72118,5.83339
4.53,9.72119,5.83338
4.54,9.72120,5.83340
4.55,9.72122,5.83341
4.56,9.72123,5.83342
4.57,9.72124,5.83343
4.58,9.72126,5.83342
4.59,9.72127,5.83344
